source,target,homogeneous_matrix
DATA_2023-04-16_23-36-03/lidar/192.ply,DATA_2023-04-16_23-36-03/lidar/191.ply,"[[ 1.00000000e+00  0.00000000e+00  1.24708080e-17 -4.88855029e-19]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.24708080e-17  0.00000000e+00  1.00000000e+00 -3.91999483e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/193.ply,DATA_2023-04-16_23-36-03/lidar/192.ply,"[[ 1.00000000e+00  0.00000000e+00  1.24708080e-17 -7.94391838e-19]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.24708080e-17  0.00000000e+00  1.00000000e+00 -6.37001097e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/194.ply,DATA_2023-04-16_23-36-03/lidar/193.ply,"[[ 1.00000000e+00  0.00000000e+00  1.24708080e-17 -1.09992530e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.24708080e-17  0.00000000e+00  1.00000000e+00 -8.82000029e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/195.ply,DATA_2023-04-16_23-36-03/lidar/194.ply,"[[ 1.00000000e+00  0.00000000e+00  1.24708080e-17 -1.40545877e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.24708080e-17  0.00000000e+00  1.00000000e+00 -1.12699896e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/196.ply,DATA_2023-04-16_23-36-03/lidar/195.ply,"[[ 1.00000000e+00  0.00000000e+00  1.24708080e-17 -1.71099483e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.24708080e-17  0.00000000e+00  1.00000000e+00 -1.37199998e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/197.ply,DATA_2023-04-16_23-36-03/lidar/196.ply,"[[ 1.00000000e+00  0.00000000e+00  1.24708080e-17 -2.73152642e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.24708080e-17  0.00000000e+00  1.00000000e+00 -2.19033636e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/198.ply,DATA_2023-04-16_23-36-03/lidar/197.ply,"[[ 9.99501922e-01 -3.15579181e-02  7.79605517e-05 -4.98567227e-05]
 [ 3.15556010e-02  9.99391885e-01 -1.48359087e-02  2.63775859e-04]
 [ 3.90277250e-04  1.48309794e-02  9.99889939e-01 -1.09360277e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/199.ply,DATA_2023-04-16_23-36-03/lidar/198.ply,"[[ 9.99553345e-01 -2.98825555e-02 -3.77674247e-04  2.22948949e-05]
 [ 2.98693749e-02  9.99360747e-01 -1.96448056e-02 -6.56439805e-05]
 [ 9.64469811e-04  1.96247502e-02  9.99806951e-01  1.05689011e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/200.ply,DATA_2023-04-16_23-36-03/lidar/199.ply,"[[ 9.99927016e-01  1.20815229e-02  1.72037835e-05  3.86892814e-05]
 [-1.20815206e-02  9.99927007e-01 -1.29152277e-04 -3.92589825e-07]
 [-1.87628840e-05  1.28935003e-04  9.99999992e-01  2.90055680e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/201.ply,DATA_2023-04-16_23-36-03/lidar/200.ply,"[[ 9.99928111e-01  1.19886968e-02  2.07350091e-04  1.93624977e-06]
 [-1.19898322e-02  9.99904864e-01  6.81954527e-03  3.13384303e-05]
 [-1.25572904e-04 -6.82154112e-03  9.99976725e-01  1.24259932e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/202.ply,DATA_2023-04-16_23-36-03/lidar/201.ply,"[[ 9.99945562e-01  1.04326704e-02  1.81628148e-04  1.24554363e-06]
 [-1.04337064e-02  9.99919740e-01  7.18687996e-03  2.01698827e-05]
 [-1.06635221e-04 -7.18838377e-03  9.99974158e-01  9.70626011e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/203.ply,DATA_2023-04-16_23-36-03/lidar/202.ply,"[[ 9.99966185e-01  8.22289446e-03  1.14897045e-04 -2.24245600e-05]
 [-8.22345569e-03  9.99946287e-01  6.30858395e-03  2.58747312e-06]
 [-6.30160535e-05 -6.30931548e-03  9.99980094e-01  7.03160421e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/204.ply,DATA_2023-04-16_23-36-03/lidar/203.ply,"[[ 9.99945685e-01  1.04217532e-02  1.18457255e-04  2.31260414e-05]
 [-1.04223874e-02  9.99908446e-01  8.62982643e-03  1.57331818e-06]
 [-2.85084884e-05 -8.63059231e-03  9.99962755e-01  7.72415602e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/205.ply,DATA_2023-04-16_23-36-03/lidar/204.ply,"[[ 9.99995531e-01  2.98960941e-03  1.52083037e-05  7.59811600e-06]
 [-2.98963808e-03  9.99992411e-01  2.49816614e-03 -1.48617984e-05]
 [-7.73964730e-06 -2.49820045e-03  9.99996879e-01  1.69502657e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/206.ply,DATA_2023-04-16_23-36-03/lidar/205.ply,"[[ 9.99998012e-01  1.99405267e-03  6.62664094e-06  7.61969438e-06]
 [-1.99406075e-03  9.99996722e-01  1.60641759e-03 -6.30439039e-06]
 [-3.42333792e-06 -1.60642761e-03  9.99998710e-01  8.34285259e-04]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/207.ply,DATA_2023-04-16_23-36-03/lidar/206.ply,"[[ 1.00000000e+00 -3.89127101e-19 -8.14148479e-17  0.00000000e+00]
 [-3.89127101e-19  1.00000000e+00  4.76503461e-21  0.00000000e+00]
 [-8.14148479e-17  4.76503461e-21  1.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/208.ply,DATA_2023-04-16_23-36-03/lidar/207.ply,"[[ 9.99997819e-01  2.08856775e-03  4.33081952e-06 -2.26384165e-08]
 [-2.08857188e-03  9.99996708e-01  1.49037100e-03 -1.10092976e-05]
 [-1.21806447e-06 -1.49037679e-03  9.99998889e-01  2.91726986e-04]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/209.ply,DATA_2023-04-16_23-36-03/lidar/208.ply,"[[ 9.99999861e-01  5.28160421e-04  3.29860649e-07  1.52567215e-05]
 [-5.28160489e-04  9.99999826e-01  2.62648352e-04 -3.86312325e-06]
 [-1.91140127e-07 -2.62648489e-04  9.99999966e-01 -1.53693298e-04]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
DATA_2023-04-16_23-36-03/lidar/210.ply,DATA_2023-04-16_23-36-03/lidar/209.ply,"[[ 9.99999960e-01  2.83875762e-04  6.45823496e-08 -1.32173334e-11]
 [-2.83875766e-04  9.99999957e-01  7.94053659e-05 -1.62509911e-08]
 [-4.20410880e-08 -7.94053810e-05  9.99999997e-01 -2.04658601e-04]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
