source,target,homogeneous_matrix
/lidar/211.ply,/lidar/210.ply,"[[ 1.00000000e+00  0.00000000e+00  1.11719677e-18 -4.37940555e-20]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.11719677e-18  0.00000000e+00  1.00000000e+00 -3.91999483e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/212.ply,/lidar/211.ply,"[[ 1.00000000e+00  0.00000000e+00  1.11719677e-18 -7.11655898e-20]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.11719677e-18  0.00000000e+00  1.00000000e+00 -6.37001395e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/213.ply,/lidar/212.ply,"[[ 1.00000000e+00  0.00000000e+00  1.11719677e-18 -9.85367247e-20]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.11719677e-18  0.00000000e+00  1.00000000e+00 -8.81999731e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/214.ply,/lidar/213.ply,"[[ 1.00000000e+00  0.00000000e+00  1.11719677e-18 -1.25907959e-19]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.11719677e-18  0.00000000e+00  1.00000000e+00 -1.12699896e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/215.ply,/lidar/214.ply,"[[ 1.00000000e+00  0.00000000e+00  1.11719677e-18 -1.53279494e-19]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.11719677e-18  0.00000000e+00  1.00000000e+00 -1.37200087e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/216.ply,/lidar/215.ply,"[[ 1.00000000e+00  0.00000000e+00  1.11719677e-18 -1.52280832e-19]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.11719677e-18  0.00000000e+00  1.00000000e+00 -1.36306188e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/217.ply,/lidar/216.ply,"[[ 1.00000000e+00  0.00000000e+00  1.11719677e-18 -6.67603717e-20]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.11719677e-18  0.00000000e+00  1.00000000e+00 -5.97570399e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/218.ply,/lidar/217.ply,"[[ 1.00000000e+00  0.00000000e+00  1.11719677e-18 -1.80762450e-20]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.11719677e-18  0.00000000e+00  1.00000000e+00 -1.61800012e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/219.ply,/lidar/218.ply,"[[1.00000000e+00 0.00000000e+00 1.11719677e-18 3.64858068e-21]
 [0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.11719677e-18 0.00000000e+00 1.00000000e+00 3.26583534e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]]"
/lidar/220.ply,/lidar/219.ply,"[[1.00000000e+00 0.00000000e+00 1.11719677e-18 1.17188408e-20]
 [0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.11719677e-18 0.00000000e+00 1.00000000e+00 1.04895048e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]]"
