source,target,homogeneous_matrix
/lidar/149.ply,/lidar/148.ply,"[[ 1.00000000e+00  0.00000000e+00 -2.57828338e-17  1.01068575e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.57828338e-17  0.00000000e+00  1.00000000e+00 -3.91999483e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/150.ply,/lidar/149.ply,"[[ 1.00000000e+00  0.00000000e+00 -2.57828338e-17  1.64237011e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.57828338e-17  0.00000000e+00  1.00000000e+00 -6.37001395e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/151.ply,/lidar/150.ply,"[[ 1.00000000e+00  0.00000000e+00 -2.57828338e-17  2.27404601e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.57828338e-17  0.00000000e+00  1.00000000e+00 -8.82000029e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/152.ply,/lidar/151.ply,"[[ 1.00000000e+00  0.00000000e+00 -2.57828338e-17  2.90572269e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.57828338e-17  0.00000000e+00  1.00000000e+00 -1.12699896e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/153.ply,/lidar/152.ply,"[[ 1.00000000e+00  0.00000000e+00 -2.57828338e-17  3.53740896e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.57828338e-17  0.00000000e+00  1.00000000e+00 -1.37200162e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/154.ply,/lidar/153.ply,"[[ 1.00000000e+00  0.00000000e+00 -2.57828338e-17  4.16908564e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.57828338e-17  0.00000000e+00  1.00000000e+00 -1.61700055e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/155.ply,/lidar/154.ply,"[[ 1.00000000e+00  0.00000000e+00 -2.57828338e-17  3.50044968e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.57828338e-17  0.00000000e+00  1.00000000e+00 -1.35766678e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/156.ply,/lidar/155.ply,"[[ 1.00000000e+00  0.00000000e+00 -2.57828338e-17  1.18253311e-18]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.57828338e-17  0.00000000e+00  1.00000000e+00 -4.58651334e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/157.ply,/lidar/156.ply,"[[ 9.77687781e-01 -2.10049706e-01  2.39229628e-03 -5.87411161e-04]
 [ 2.09727287e-01  9.75416546e-01 -6.76537289e-02 -6.27572352e-04]
 [ 1.18771605e-02  6.66459539e-02  9.97705994e-01  9.25114334e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/158.ply,/lidar/157.ply,"[[ 9.99155412e-01 -4.10477880e-02 -1.88170017e-03 -1.58035485e-04]
 [ 4.10169746e-02  9.99057253e-01 -1.42201733e-02 -1.06919547e-04]
 [ 2.46363287e-03  1.41309815e-02  9.99897118e-01  1.43888497e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/159.ply,/lidar/158.ply,"[[ 9.99605306e-01  2.80559312e-02  1.44817185e-03  9.72688742e-05]
 [-2.80669626e-02  9.99571904e-01  8.26161822e-03  2.04540134e-04]
 [-1.21576450e-03 -8.29900319e-03  9.99964824e-01  1.48521692e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
/lidar/160.ply,/lidar/159.ply,"[[ 9.98856793e-01  4.77440693e-02  2.36892757e-03  1.67384936e-04]
 [-4.77747928e-02  9.98741183e-01  1.52845632e-02  2.39885337e-04]
 [-1.63619828e-03 -1.53802648e-02  9.99880378e-01  1.29966090e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
